cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;año_De_registro;produccion_por tipo;cantidad_de_producciones;produce_la_materia_prima
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2011;HORTALIZAS - FRACCIONAMIENTO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2012;HORTALIZAS - FRACCIONAMIENTO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2013;LACTEOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2013;LECHE;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2013;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2011;DULCES;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2011;LEÑA;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2011;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2012;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2012;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;ACEITES;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;BEBIDAS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;CONSERVAS;7;5
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;ENCURTIDOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;MERMELADAS;7;4
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;MIEL - FRACCIONAMIENTO;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;OTROS PRODUCTOS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;Sin dato;MERMELADAS;1;0
