cod_pais,nom_pais,cod_provincia,nom_provincia,cod_depto,nom_depto,anio,produccion,cantidad_de_producciones,cod_unid_superficie,nom_uni_superficie,superficie_total,
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2011,CEBOLLA DE VERDEO,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2011,REMOLACHA,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2011,PUERRO,1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,CEBADA CERVECERA,1,ha,hectárea,120,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,SORGO GRANIFERO,1,ha,hectárea,30,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,HORTALIZAS DE HOJA,1,ha,hectárea,4,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,HUERTA AUTOCONSUMO,1,ha,hectárea,1,400000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,TOMATE,1,ha,hectárea,0,75000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,PINO,2,ha,hectárea,0,4000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,FLORES,2,ha,hectárea,0,4000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,ALBAHACA,2,ha,hectárea,0,4000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,OTRAS AROMATICAS,2,ha,hectárea,0,4000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,OLIVO,2,ha,hectárea,0,4000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2012,VIVERO - ORNAMENTALES,1,ha,hectárea,0,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,ACELGA,5,ha,hectárea,3,750000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,LECHUGA,3,ha,hectárea,2,500000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,OTRAS HORTALIZAS DE HOJA,4,ha,hectárea,1,530000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,REMOLACHA,2,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,COREANITO  ANQUITO O CALABACITA,1,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,CHOCLO,1,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,ZAPALLITO DE TRONCO O REDONDO,3,ha,hectárea,0,880000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,CEBOLLA DE VERDEO,3,ha,hectárea,0,630000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,TOMATE,4,ha,hectárea,0,605000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,TOMATE REDONDO,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,HORTALIZAS DE HOJA,5,ha,hectárea,0,380000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,BERENJENA,1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,ZANAHORIA,1,ha,hectárea,0,130000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,ZAPALLO,3,ha,hectárea,0,105000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2013,AJO,3,ha,hectárea,0,45000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2014,ANUALES,1,ha,hectárea,30,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2014,ZANAHORIA,1,ha,hectárea,0,30000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2014,ZAPALLITO DE TRONCO O REDONDO,1,ha,hectárea,0,30000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2014,OTRAS HORTALIZAS,1,ha,hectárea,0,30000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2014,OTRAS HORTALIZAS DE HOJA,1,ha,hectárea,0,30000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2014,HUERTA AUTOCONSUMO,1,ha,hectárea,0,12000
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2014,VIVERO - HORTICOLA,1,ha,hectárea,0,0
32,Argentina,6,BUENOS AIRES,56,BAHIA BLANCA,2014,VIVERO - ORNAMENTALES,1,ha,hectárea,0,0
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2009,HUERTA AUTOCONSUMO,2,ha,hectárea,0,50000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2010,MAIZ,5,ha,hectárea,20,0
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2010,PERENNES,1,ha,hectárea,16,0
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2010,AVENA,1,ha,hectárea,10,0
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2010,HUERTA AUTOCONSUMO,8,ha,hectárea,0,72500
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2010,TOMATE,1,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2010,AJI / PIMIENTO FRESCO,1,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2011,SOJA 1RA,1,ha,hectárea,4,0
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2011,MAIZ,1,ha,hectárea,4,0
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2011,ZAPALLO,1,ha,hectárea,1,200000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2011,CEBOLLA DE BULBO,1,ha,hectárea,1,0
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2011,PAPA,1,ha,hectárea,0,500000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2011,HUERTA AUTOCONSUMO,15,ha,hectárea,0,370500
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2011,HUERTA MERCADO (5 ESPECIES O MAS),6,ha,hectárea,0,350200
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2011,VIVERO - FRUTALES,2,ha,hectárea,0,33000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,OTRAS AROMATICAS,1,ha,hectárea,0,250000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,HUERTA MERCADO (5 ESPECIES O MAS),6,ha,hectárea,0,145000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,HUERTA AUTOCONSUMO,8,ha,hectárea,0,62400
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,ZAPALLO,1,ha,hectárea,0,33000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,FRUTALES VARIOS (HASTA 6 PLANTAS),1,ha,hectárea,0,30000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,DURAZNERO,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,DAMASCO,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,MANDARINO,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,NARANJO,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,CASTAÑO,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,FRAMBUESA,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,VIVERO - ORNAMENTALES,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,CEREZO,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,LIMONERO,1,ha,hectárea,0,20000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,TOMATE,1,ha,hectárea,0,10000
32,Argentina,6,BUENOS AIRES,63,BALCARCE,2012,HORTALIZAS DE HOJA,1,ha,hectárea,0,7000
