cod_pais,nom_pais,Region,cod_provincia,nom_provincia,cod_depto,nom_depto,anio,trabajadores_no_familiares_permanentes_jornada_completa,trabajadores_no_familiares_permanentes_jornada_parcial,produccion_aromaticas,produccion_cereales,produccion_citricos,produccion_cultivos_andinos,producción_forestales,produccion_forrajeras,produccion_cultivos_industriales,produccion_fruta_fina,produccion_frutales,produccion_frutas_tropicales,produccion_frutales_de_pepita,produccion_frutos_secos,produccion_hortalizas_de_fruto,produccion_de_hortalizas_de_hoja,produccion_de_legumbres,produccion_de_medicinales,produccion_de_oleaginosas,produccion_vid_vinifera,produccion_de_aves,produccion_de_bovinos,produccion_de_abejas,produccion_de_caprinos,produccion_de_conejos,produccion_de_equinos,produccion_de_ovinos,produccion_de_porcinos
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,1,5
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2016,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,2017,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,56,BAHIA BLANCA,Sin dato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2010,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,8,0,1,0,1,7,12
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,25,6,0,1,0,0,6,11
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2012,2,0,1,0,1,0,0,0,0,1,1,0,0,0,1,7,0,0,0,0,15,4,0,0,2,1,4,4
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2013,5,2,0,6,1,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,21,14,0,2,1,0,15,19
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2014,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,15,7,0,1,0,2,4,21
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2015,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,10,5,0,0,0,0,5,7
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2016,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,0,0,0,0,2,9
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,2017,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,3,3,6,0,0,0,0,8
32,Argentina,CENTRO,6,BUENOS AIRES,63,BALCARCE,Sin dato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2009,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,1,1,8,12
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2010,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,1,0,2,4
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,2,0,2,3
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,2,9
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,1,2,0,2
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,4,3,2
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2016,8,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,4
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,2017,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,70,BARADERO,Sin dato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
32,Argentina,CENTRO,6,BUENOS AIRES,77,ARRECIFES,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,77,ARRECIFES,2010,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,34
32,Argentina,CENTRO,6,BUENOS AIRES,77,ARRECIFES,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,77,ARRECIFES,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,77,ARRECIFES,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,84,BENITO JUAREZ,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,84,BENITO JUAREZ,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,16,2,0,0,0,0,4,10
32,Argentina,CENTRO,6,BUENOS AIRES,84,BENITO JUAREZ,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,84,BENITO JUAREZ,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2
32,Argentina,CENTRO,6,BUENOS AIRES,84,BENITO JUAREZ,2016,5,0,0,0,0,0,0,0,0,3,7,0,0,0,4,14,1,0,0,0,7,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,84,BENITO JUAREZ,2017,12,0,1,1,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,3,1,0,0,0,0,1,1
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2009,8,5,1,3,0,0,0,0,0,3,0,0,0,0,15,44,5,0,0,0,3,0,0,0,1,3,1,2
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2010,0,3,3,1,5,0,0,0,0,1,5,1,1,0,17,29,1,1,0,0,5,1,0,0,1,1,2,4
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2011,21,7,3,9,4,0,0,1,1,5,10,2,1,0,32,105,6,0,1,0,11,1,0,0,1,1,1,5
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2012,3,4,0,2,0,0,0,0,0,1,0,0,0,0,1,22,2,0,0,0,5,0,0,0,1,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,20,0,0,0,0,1,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2015,3,0,2,2,0,0,0,0,0,1,0,0,0,0,2,40,5,0,0,0,1,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2016,56,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,0,0,0,0,0,0,0,0,0,0,1,0
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,2017,70,0,0,0,0,0,0,0,0,0,0,0,0,0,29,54,1,0,0,0,0,0,3,0,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,91,BERAZATEGUI,Sin dato,0,0,23,0,0,0,0,1,0,1,0,0,0,2,8,18,0,0,0,0,0,0,0,0,0,0,1,0
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,2011,2,2,0,0,2,0,4,0,0,0,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,2012,0,0,0,0,1,0,4,0,0,0,9,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,2016,3,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,2017,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,98,BERISSO,Sin dato,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2010,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,32
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2011,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,3
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2013,0,0,0,6,0,0,0,0,0,0,3,0,0,0,2,1,0,0,2,0,6,13,0,0,0,0,0,17
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,0,13
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,9,0,0,0,0,0,4
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,105,BOLIVAR,2017,4,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,1,0,1,2,0,2,0
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,2010,2,0,0,2,0,0,0,0,0,1,1,0,0,0,1,5,0,0,2,0,7,2,0,2,1,2,3,15
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,2011,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,9
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,2012,15,11,6,5,2,0,0,0,0,1,3,0,0,0,1,11,0,0,0,0,23,6,0,0,2,1,7,45
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,0,3
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,2016,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,112,BRAGADO,Sin dato,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,4,3
32,Argentina,CENTRO,6,BUENOS AIRES,119,BRANDSEN,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,5
32,Argentina,CENTRO,6,BUENOS AIRES,119,BRANDSEN,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,119,BRANDSEN,2016,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2
