cod_pais;nom_pais;Region;cod_provincia;nom_provincia;cod_depto;nom_depto;año_del_dato;Cantidad_de_nafs;nafs_ con red eléctrica;naf_con_acceso_a_caminos_y_rutas_cercanas;naf_con_acceso_a_agua_de_red_pública_ (agua corriente)
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2009;3;1;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2010;57;30;50;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2011;11;9;9;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2012;13;10;7;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2013;41;31;21;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2014;33;27;24;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2015;59;44;38;0
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2016;2;2;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;105;BOLIVAR;2017;4;4;3;3
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2009;8;1;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2010;31;10;14;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2011;15;13;10;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2012;113;83;88;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2013;10;6;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2015;1;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2016;4;4;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;2017;1;1;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;Sin dato;10;8;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2012;26;15;22;0
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2014;4;4;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2016;3;3;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2017;7;7;4;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2010;4;1;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2011;15;15;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2012;27;12;17;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;22;11;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2016;2;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2017;3;3;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;Sin dato;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2009;2;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2010;8;3;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2011;6;5;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2012;12;6;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2013;20;8;13;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2014;11;10;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2015;3;3;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2016;8;8;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;2017;3;3;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CAÑUELAS;Sin dato;5;5;4;0
