cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;a¤o_del_dato;Integrantes_del_naf_con_obra_social;integrantes_del_naf_con_prepaga;integrantes_del_naf_con_sistema_p£blico_de_salud;integrantes_del_naf_sin_cobertura_medica
32;Argentina;CENTRO;6;BUENOS AIRES;112;BRAGADO;Sin dato;4;1;8;9
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2012;24;7;44;17
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2014;2;0;8;4
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2016;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;119;BRANDSEN;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2010;0;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2011;14;5;20;17
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2012;29;0;60;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2013;37;0;39;2
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2016;2;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;126;CAMPANA;Sin dato;0;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2009;0;0;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2010;4;0;30;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2011;9;1;12;2
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2012;4;0;35;3
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2013;13;0;29;4
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2014;9;6;7;13
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2015;2;0;14;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2016;0;0;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;134;CA¥UELAS;Sin dato;8;0;2;6
32;Argentina;CENTRO;6;BUENOS AIRES;140;CAPITAN SARMIENTO;2012;0;0;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2012;24;0;47;1
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2013;8;3;13;10
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2014;0;3;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2015;0;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2016;6;0;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;161;CARMEN DE ARECO;2013;0;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;161;CARMEN DE ARECO;2014;26;2;29;0
32;Argentina;CENTRO;6;BUENOS AIRES;161;CARMEN DE ARECO;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2010;3;0;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2011;0;0;7;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2012;2;0;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2013;14;4;47;16
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2010;105;1;424;48
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2012;21;1;46;16
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2013;5;0;35;4
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2015;20;0;36;5
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;Sin dato;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2010;0;0;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2011;0;0;36;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2012;11;4;20;16
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2013;29;5;45;3
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2014;13;0;20;16
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2015;4;0;8;3
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2016;0;2;4;7
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;224;CHIVILCOY;2010;0;0;14;0
32;Argentina;CENTRO;6;BUENOS AIRES;224;CHIVILCOY;2016;0;2;0;6
32;Argentina;CENTRO;6;BUENOS AIRES;224;CHIVILCOY;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2010;0;0;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2012;0;0;17;0
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2013;20;3;28;10
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2015;3;0;0;0
