cod_pais,nom_pais,region,cod_provincia,nom_provincia,cod_depto,nom_depto,año_de_registro,Cant_de_naf,integ_del_NAF,sin_educacion_formal,educacion_inicial,educacion_primaria,educacion_secundaria,educacion_cens,educacion_superior,educacion_especial
32,Argentina,CUYO,70,SAN JUAN,63,9 DE JULIO,2010,10,31,1,0,25,5,0,0,0
32,Argentina,CUYO,70,SAN JUAN,63,9 DE JULIO,2011,5,10,2,0,2,4,1,1,0
32,Argentina,CUYO,70,SAN JUAN,63,9 DE JULIO,2012,10,36,2,0,22,10,0,2,0
32,Argentina,CUYO,70,SAN JUAN,63,9 DE JULIO,2013,26,104,9,3,52,24,5,6,2
32,Argentina,CUYO,70,SAN JUAN,63,9 DE JULIO,2014,2,4,0,0,0,1,1,1,0
32,Argentina,CUYO,70,SAN JUAN,63,9 DE JULIO,2015,1,4,0,0,4,0,0,0,0
32,Argentina,CUYO,70,SAN JUAN,63,9 DE JULIO,2017,2,2,0,0,2,0,0,0,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2009,36,143,11,2,113,8,0,0,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2010,16,87,9,4,66,8,0,0,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2011,14,46,6,1,30,7,0,2,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2012,11,45,11,1,33,0,0,0,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2013,7,27,2,1,21,3,0,0,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2014,21,92,6,5,55,12,0,3,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2015,20,67,2,2,46,7,0,2,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2016,2,8,0,0,5,1,0,2,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,2017,4,12,0,0,9,3,0,0,0
32,Argentina,NEA,22,CHACO,105,9 DE JULIO,Sin dato,1,2,0,0,2,0,0,0,0
