cod_pais;nom_pais;region;cod_provincia;nom_provincia;cod_depto;nom_depto;Cant_de_naf;año_de_registro;integ_del_NAF;integ_menores_de_edad;integ_mayores_de_edad;integ_que_trabajan_en_el_predio;cant_de_mujeres_integrantes_del_NAF;cant_de_varones_integrantes_del_NAF
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;1;2018;1;0;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;7;ADOLFO ALSINA;62;Sin dato;80;9;71;13;29;48
32;Argentina;PATAGONIA;62;RIO NEGRO;7;ADOLFO ALSINA;8;2010;36;14;22;26;19;17
32;Argentina;PATAGONIA;62;RIO NEGRO;7;ADOLFO ALSINA;14;2011;53;20;33;36;24;29
32;Argentina;PATAGONIA;62;RIO NEGRO;7;ADOLFO ALSINA;2;2013;4;0;4;4;1;3
32;Argentina;PATAGONIA;62;RIO NEGRO;7;ADOLFO ALSINA;24;2014;46;7;39;39;19;27
32;Argentina;PATAGONIA;62;RIO NEGRO;7;ADOLFO ALSINA;8;2015;31;13;18;18;12;19
32;Argentina;PATAGONIA;62;RIO NEGRO;7;ADOLFO ALSINA;4;2016;7;0;7;2;4;3
32;Argentina;PATAGONIA;62;RIO NEGRO;7;ADOLFO ALSINA;20;2017;27;3;24;1;10;16
32;Argentina;CENTRO;6;BUENOS AIRES;14;ADOLFO GONZALES CHAVES;6;2010;33;9;24;20;16;17
32;Argentina;CENTRO;6;BUENOS AIRES;14;ADOLFO GONZALES CHAVES;1;2011;4;2;2;2;2;2
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;7;AGUIRRE;7;2010;32;15;17;25;13;19
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;7;AGUIRRE;12;2011;50;26;24;38;27;23
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;7;AGUIRRE;36;2012;152;62;90;99;78;74
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;7;AGUIRRE;19;2013;70;32;38;38;36;34
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;7;AGUIRRE;9;2015;28;5;23;14;13;15
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;7;AGUIRRE;13;2016;66;32;34;0;28;35
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;7;AGUIRRE;1;2017;1;0;1;0;1;0
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;7;AGUIRRE;2;Sin dato;5;0;5;2;2;3
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;3;2009;10;2;8;9;3;7
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;129;2010;503;187;316;295;245;258
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;61;2011;214;88;126;122;116;98
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;36;2012;155;55;100;94;81;74
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;36;2013;97;28;69;66;46;51
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;57;2014;171;60;111;84;88;83
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;35;2015;97;31;66;49;51;46
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;2;2016;7;0;7;2;2;5
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;30;2017;92;33;59;7;48;41
32;Argentina;CUYO;70;SAN JUAN;7;ALBARDON;6;Sin dato;24;3;21;14;11;13
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;14;ALBERDI;22;2009;129;74;54;80;54;75
